date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:00	4766/4766	---M--	200	added ('OK')	image/jpeg	etag:%22d1ba81020a71d330b61ea00342826ffc-ssl%22	https://watson-vcard.netlify.app/img/testimonials/author-2.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/testimonials/author-2.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:00	4458/4458	---M--	200	added ('OK')	image/jpeg	etag:%229a6aecb94d82c807b48c630eec6c75a8-ssl%22	https://watson-vcard.netlify.app/img/testimonials/author-3.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/testimonials/author-3.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:01	85894/85894	---M--	200	added ('OK')	image/jpeg	etag:%22eb4610778f0bcbd47fc55042c3351c7e-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-1.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-1.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:02	1398/1398	---M-Z	200	added ('OK')	text/html	etag:%22c9b1190e64204427613e86723a381160-ssl-df%22	https://watson-vcard.netlify.app/single-work.html	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/single-work.html	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:02	31814/31814	---M--	200	added ('OK')	image/jpeg	etag:%22eca25c76ae89e48a6f76171505332d5b-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-2.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-2.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:02	36427/36427	---M--	200	added ('OK')	image/jpeg	etag:%22fc58b624fce3c4edc8fb50cd7a40218b-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-3.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-3.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:03	41862/41862	---M--	200	added ('OK')	image/jpeg	etag:%2200d90397b3522ab622621f16ed3303a6-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-4.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-4.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:03	81385/81385	---M--	200	added ('OK')	image/jpeg	etag:%227832689c0bef5e276241bdb141ae21cd-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-5.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-5.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:04	79623/79623	---M--	200	added ('OK')	image/jpeg	etag:%222f84a865505016d7582536d8269bdef0-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-6.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-6.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:04	44546/44546	---M--	200	added ('OK')	image/jpeg	etag:%227337721a3052c53e620d41f10f5eaf3e-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-7.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-7.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:04	65665/65665	---M--	200	added ('OK')	image/jpeg	etag:%22bc289e01d879dc437229f7dc0b9881dd-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-8.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-8.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:05	38622/38622	---M--	200	added ('OK')	image/jpeg	etag:%22adcebf130fb362af66c9c36ed0167bb6-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-9.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-9.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:05	61459/61459	---M--	200	added ('OK')	image/jpeg	etag:%22f81183993f4bf8f7fc557d63b2671037-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-10.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-10.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
